gene_name,antibiotics
ADC,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
MBL_fold_metallo-hydrolase,"ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
TEM,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam, ampicillin"
OXA-23,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
OXA-24,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
ACT,"cefoxitin, cefmetazole, cefotetan, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, aztreonam, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
KPC,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
CTX-M,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
SHV,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
VIM,"cefoxitin, cefmetazole, cefotetan, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, aztreonam, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
FOX/TRU,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, cefoxitin, cefmetazole, cefotetan"
CMH,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
OXA-48,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
NDM,"cefoxitin, cefmetazole, cefotetan, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, aztreonam, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
